BRANCH_NAME,BRANCH_ADDRESS,POSTAL,X-COORDINATES,Y-COORDINATES,OPEN_ON_SUNDAYS,OPEN_ON_PH
Sembawang,"2 Sembawang Crescent, #02-05/06, Canberra Community Club, Singapore 757632",757632,26476.8718,47402.5696,N,N
Woodlands Central *,"900 South Woodlands Drive #03-05/06 Woodlands Civic Centre, Singapore 730900",730900,22832.5104,46317.1921,N,N
Yishun Central ,"51 Yishun Central 1 #01-09 Yishun 10 Multiplex, Singapore 768794",768794,28350.2903,45742.0168,N,N
Ang Mo Kio Central ,"Blk 727 Ang Mo Kio Ave 6 #01-4246, Singapore 560727",560727,29418.3295,39406.7532,N,N
Hougang Central ,"90 Hougang Avenue 10 #04-15A Hougang Mall, Singapore 538766",538766,34715.4429,39368.8739,N,N
Lim Ah Pin Road ,"1 Lim Ah Pin Road, Singapore 547809",547809,34058.0624,38370.2226,N,N
Punggol ,"80 Punggol Field #B1-01 Punggol 21 Community Club, Singapore 828815",828815,36919.1416,41723.5657,N,N
Sengkang Central ,"2 Sengkang Square #03-01 Sengkang Community Hub, Singapore 545025",545025,34782.9674,41617.7534,N,N
Serangoon Central ,"Blk 261 Serangoon Central Dr #01-05/07, Singapore 550261",550261,32363.1675,37349.8028,N,N
Serangoon Garden ,"54 Serangoon Garden Way, Singapore 555950",555950,31695.4001,38434.7356,N,N
Bedok Central ,"Blk 218 Bedok North St.1 #01-49, Singapore 460218",460218,39232.5819,34413.1723,N,N
Changi Airport Terminal 2 *,"Departure Hall Unit 026-39 Airport Boulevard, Singapore 819643",819643,45322.8591,37513.3343,N,N
Pasir Ris Central ,"1 Pasir Ris Central Street 3 #05-01 White Sands, Singapore 518457",518457,40948.7676,39381.8626,N,N
Siglap ,"10 Palm Avenue, Singapore 456532",456532,38756.2912,32851.6179,N,N
Simpang Bedok ,"350 Bedok Road, Singapore 469538",469538,40715.4179,34891.1433,N,N
Tampines Central ,"1 Tampines Central 5 #01-03 CPF Tampines Building, Singapore 529508",529508,40289.0425,37244.7576,N,N
Bukit Batok Central ,"1 Bukit Batok Central Link #05-09 West Mall, Singapore 658713",658713,18624.3519,36909.9589,N,N
Bukit Panjang ,"10 Choa Chu Kang Rd Track 10, Singapore 689379",689379,19753.37,40137.4436,N,N
Choa Chu Kang Central ,"Blk 309 Choa Chu Kang Ave 4 #01-03 Choa Chu Kang Centre, Singapore 680309",680309,18259.7654,40784.4487,N,N
Clementi Central ,"3155 Commonwealth Ave West, #05-23/24/25/26, The Clementi Mall, Singapore 129588",129588,20344.2277,33092.8343,Y,N
Clementi West ,"Blk 727 Clementi West St.2 #01-286, Singapore 120727",120727,20265.1928,31884.1506,N,N
Jurong East ,"3 Gateway Drive #02-40A Westgate, Singapore 608532",608532,17902.4122,35135.442,N,N
Jurong Point *,"1 Jurong West Central 2 #B1-45 Jurong Point Shopping Centre, Singapore 648886",648886,13907.0305,35735.7565,Y,Y
Jurong West ,"Blk 492 Jurong West St. 41 #01-42, Singapore 640492",640492,15900.6883,36914.3605,N,N
Teban Garden ,"Blk 38 Teban Garden Road #01-316, Singapore 600038",600038,17949.1908,33703.289,N,N
Alexandra ,"110 Alexandra Road, Singapore 159921",159921,26496.9404,30430.6627,N,N
Bishan ,"51 Bishan Street 13 #01-03 Bishan Community Club, Singapore 579799",579799,29939.938,36876.099,N,N
Bukit Merah Central ,"Blk 165 Bukit Merah Central #01-3689, Singapore 150165",150165,26149.6874,29499.3276,N,N
Bukit Timah ,"20 Toh Yi Drive, #01-05 Bukit Timah Community Club, Singapore 596569",596569,21150.6415,35842.2974,N,N
City Square ,"180 Kitchener Rd #B2-33, City Square Mall, Singapore 208539",208539,30578.4383,32632.7594,N,N
Crawford ,"Blk 15 Beach Road #01-4685, Singapore 190015",190015,31320.3462,31751.6958,N,N
Geylang East ,"Blk 119 Aljunied Ave 2 #01-22, Singapore 380119",380119,33948.3168,33560.8019,N,N
Geylang ,"447 Geylang Road, Singapore 389406",389406,33441.3427,32840.1133,N,N
Ghim Moh Estate ,"Blk 21 Ghim Moh Road #01-225, Singapore 270021",270021,23015.7743,32487.6833,N,N
Harbourfront Centre ,"1 Maritime Square #03-22 HarbourFront Centre, Singapore 099253",099253,26544.8211,27388.8963,N,N
Katong ,"373 Tanjong Katong Road, Singapore 437130",437130,35102.5116,31713.2921,N,N
Killiney Road *,"1 Killiney Road, Singapore 239518",239518,28820.1453,31388.3752,Y,Y
Macpherson Road ,"70 Macpherson Road, Singapore 348475",348475,32231.1159,34518.9171,N,N
Marine Parade ,"Blk 86 Marine Parade Central #01-670, Singapore 440086",440086,36173.1032,31563.9802,N,N
Novena ,"55 Newton Road #01-02 Revenue House, Singapore 307987",307987,28968.1476,33555.8233,N,N
Pasir Panjang ,"396 Pasir Panjang Road, Singapore 118733",118733,21078.8426,30437.2192,N,N
Paya Lebar ,"11 Tanjong Katong Road, #03-08/09 One KM Mall, Singapore 437157",437157,34806.7378,32997.5775,Y,Y
Potong Pasir ,"6 Potong Pasir Avenue 2, #02-01, Potong Pasir Community Club, Singapore 358361",358361,31760.1119,34977.0533,N,N
Tanglin *,"56 Tanglin Road, Singapore 247964",247964,26847.5129,31993.4249,N,N
Thomson Road *,"194 Upper Thomson Road, Thomson Community Club #01-02, Singapore 574339",574339,28319.1388,37045.138,N,N
Tiong Bahru ,"Blk 28 Tiong Bahru Road #01-141/147, Singapore 163028",163028,27674.2027,29791.4041,N,N
Toa Payoh Central *,"520 Lorong 6 Toa Payoh #02-55 HDB Hub (Biz Two), Singapore 310520",310520,29570.3287,35036.4766,N,N
Toa Payoh North ,"Blk 203 Toa Payoh North #01-1117/1119, Singapore 310203",310203,29763.5835,36024.2733,N,N
Towner ,"Blk 101 Towner Road, #01-204/206, Singapore 322101",322101,31091.5921,33522.8944,N,N
Whampoa ,"Whampoa Community Club, 300 Whampoa Drive, #01-15, Singapore 327737",327737,30642.0998,34100.5927,N,N
Bras Basah ,"Blk 231 Bain Street#01-03 Bras Basah Complex, Singapore 180231",180231,30270.4852,31005.8687,N,N
Chinatown *,"101 Upper Cross Street #B1-17A People's Park Centre, Singapore 058357",058357,29187.7799,29782.8865,N,N
Orchard Road ,"2 Orchard Turn #B2 -62 ION Orchard, Singapore 238801",238801,27840.9178,31827.0202,Y,N
Raffles Place ,"10 Collyer Quay #B1-11, Ocean Financial Centre, Singapore 049315",049315,30061.5647,29528.6928,N,N
Robinson Road *,"79 Robinson Road #01-06 CPF Building, Singapore 068897",068897,29627.3762,28826.6482,N,N
Suntec City ,"3 Temasek Boulevard, #03-383, Suntec City Mall (between Tower 3 & 4), Singapore 038983",038983,30860.6501,30926.2024,N,N
Tanjong Pagar *,"Blk 1 Tanjong Pagar Plaza #01-25, Singapore 082001",082001,29042.4355,28671.779,N,N
